angle,azimuth,value
-6.000000000000000000e+01,1.800000000000000000e+02,1.286608559954882658e-01
-5.500000000000000000e+01,1.800000000000000000e+02,1.378918426948181064e-01
-5.000000000000000000e+01,1.800000000000000000e+02,1.423481811013911358e-01
-4.500000000000000000e+01,1.800000000000000000e+02,1.406929696932354978e-01
-4.000000000000000000e+01,1.800000000000000000e+02,1.357909974460051183e-01
-3.500000000000000000e+01,1.800000000000000000e+02,1.315680862893002234e-01
-3.000000000000000000e+01,1.800000000000000000e+02,1.280242362231204523e-01
-2.500000000000000000e+01,1.800000000000000000e+02,1.251170059293085501e-01
-2.000000000000000000e+01,1.800000000000000000e+02,1.232920292485217284e-01
-1.500000000000000000e+01,1.800000000000000000e+02,1.211275220224718452e-01
-1.000000000000000000e+01,1.800000000000000000e+02,1.202362543411573254e-01
-5.000000000000000000e+00,1.800000000000000000e+02,1.194935312733949179e-01
0.000000000000000000e+00,1.800000000000000000e+02,1.186447049102382911e-01
5.000000000000000000e+00,1.800000000000000000e+02,1.187295875465538136e-01
1.000000000000000000e+01,1.800000000000000000e+02,1.204484609319462496e-01
1.500000000000000000e+01,1.800000000000000000e+02,1.206606675227353820e-01
2.000000000000000000e+01,1.800000000000000000e+02,1.259021703152286564e-01
2.500000000000000000e+01,1.800000000000000000e+02,1.263478041558859788e-01
3.000000000000000000e+01,1.800000000000000000e+02,1.295309030177237974e-01
3.500000000000000000e+01,1.800000000000000000e+02,1.315680862893002234e-01
4.000000000000000000e+01,1.800000000000000000e+02,1.366398238091618422e-01
4.500000000000000000e+01,1.800000000000000000e+02,1.364488378774516286e-01
5.000000000000000000e+01,1.800000000000000000e+02,1.381252699446863796e-01
5.500000000000000000e+01,1.800000000000000000e+02,1.352604809690321208e-01
6.000000000000000000e+01,1.800000000000000000e+02,1.277483676550947023e-01
